epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5106,0.83103,4.31774,1.01359,0.00326,0.89796,0.37181,0.33375,0.56908,4.1008,0.84433,0.00013635,0.00013635,0.00013635
2,69.1069,0.72478,3.69836,0.92277,0.00367,0.97959,0.3394,0.2981,0.58449,3.87798,0.82465,0.000225996,0.000225996,0.000225996
3,103.473,0.77146,2.87685,0.9256,0.95404,0.18012,0.50476,0.4251,0.5926,3.57827,0.8142,0.000258047,0.000258047,0.000258047
4,138.813,0.71896,2.487,0.97096,0.93448,0.17428,0.75151,0.68729,0.50837,3.31372,0.80399,0.000232504,0.000232504,0.000232504
5,174.644,0.65781,2.0538,0.89336,0.87245,0.47358,0.79482,0.71943,0.48554,3.00722,0.81433,0.000149367,0.000149367,0.000149367
