epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.422,0.8885,6.72604,1.08624,0.51015,0.47122,0.55985,0.50158,0.52779,28.5442,0.92701,8.181e-05,8.181e-05,8.181e-05
2,338.391,0.70051,2.36917,1.0023,0.69096,0.76884,0.90608,0.81229,0.45382,2.61965,0.87887,0.000156383,0.000156383,0.000156383
3,507.258,0.6374,1.52387,0.99757,0.91631,0.86735,0.93516,0.85388,0.41853,1.70798,0.87549,0.000173446,0.000173446,0.000173446
4,682.773,0.61762,1.23593,0.98403,0.92791,0.96094,0.995,0.90638,0.38859,1.22741,0.85899,0.0001248,0.0001248,0.0001248
5,855.805,0.58593,1.025,0.95024,0.95126,0.99348,0.995,0.91506,0.38616,1.01701,0.858,4.65616e-05,4.65616e-05,4.65616e-05
