epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8223,0.80487,4.39411,0.99984,0.0021,0.56803,0.20186,0.18026,0.60537,4.45258,0.95297,6.363e-05,6.363e-05,6.363e-05
2,74.9684,0.72278,3.91442,0.95389,0.00356,0.93878,0.28459,0.25106,0.57024,4.12193,0.84302,0.00012346,0.00012346,0.00012346
3,109.125,0.74633,3.46198,0.93899,0.00386,0.97959,0.39522,0.35525,0.57633,3.95699,0.82836,0.00013756,0.00013756,0.00013756
4,143.43,0.67402,2.84937,0.89534,0.00405,0.97959,0.45638,0.41677,0.53569,3.86003,0.81292,9.92004e-05,9.92004e-05,9.92004e-05
5,176.949,0.71153,2.61001,0.93327,0.0044,1,0.57262,0.52787,0.54346,3.74834,0.81243,3.70593e-05,3.70593e-05,3.70593e-05
