epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.8,0.8885,6.72604,1.08624,0.51015,0.47122,0.55985,0.50159,0.52779,28.5442,0.92701,8.181e-05,8.181e-05,8.181e-05
2,356.226,0.70004,2.39689,1.00501,0.7742,0.77869,0.84597,0.75699,0.454,2.54689,0.87718,0.000129964,0.000129964,0.000129964
3,529.394,0.64569,1.64601,1.00065,0.93462,0.83236,0.91852,0.82141,0.43547,1.92081,0.87579,6.78796e-05,6.78796e-05,6.78796e-05
