epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.799,0.8885,6.72604,1.08624,0.51012,0.45208,0.5363,0.48387,0.52779,28.5442,0.92701,8.181e-05,8.181e-05,8.181e-05
2,360.312,0.70292,2.37546,1.00567,0.75466,0.76315,0.90476,0.80799,0.4508,2.58076,0.87566,0.00014767,0.00014767,0.00014767
3,537.744,0.63775,1.55861,0.99802,0.89553,0.88776,0.93024,0.83816,0.41632,1.78894,0.86762,0.000133123,0.000133123,0.000133123
4,709.986,0.61428,1.30582,0.98525,0.94519,0.95272,0.995,0.91222,0.39057,1.38532,0.86363,5.49427e-05,5.49427e-05,5.49427e-05
